Final_Rank,Rank,Ticker,CN_Name,Grok_Elite_Score,pullback_score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,TrendStrength_pts,Score_Breakdown,Reason
1,1,OXY,西方石油,78.0,16,低,OXY,62.83,62.3,18.56,64.4,0.17,60.35,53.02,-0.1915,67.45,低,5,基底+40 · PullbackQ+16 · RelStr+12 · TechConf+5 · TrendStrength+5,從20日高點回檔6.9%，守EMA20；1M報酬18.6%>SPY:-3.3%&QQQ:-3.6%；RSI64健康；站上SMA200（斜率上升）
2,2,MPC,MPC,78.0,16,低,MPC,239.2,70.5,10.05,59.2,0.09,234.23,211.4,-1.2793,255.77,低,5,基底+40 · PullbackQ+16 · RelStr+12 · TechConf+5 · TrendStrength+5,從20日高點回檔6.5%，守EMA20；1M報酬10.0%>SPY:-3.3%&QQQ:-3.6%；RSI59健康；站上SMA200（斜率上升）
3,3,EOG,EOG資源,78.0,16,低,EOG,142.86,76.6,9.03,62.3,0.1,139.26,126.79,-0.5953,151.87,低,5,基底+40 · PullbackQ+16 · RelStr+12 · TechConf+5 · TrendStrength+5,從20日高點回檔5.9%，守EMA20；1M報酬9.0%>SPY:-3.3%&QQQ:-3.6%；RSI62健康；站上SMA200（斜率上升）
4,4,FANG,鑽石背能源,78.0,16,低,FANG,194.13,54.7,8.43,60.0,0.07,190.23,176.59,-0.772,204.91,低,5,基底+40 · PullbackQ+16 · RelStr+12 · TechConf+5 · TrendStrength+5,從20日高點回檔5.3%，守EMA20；1M報酬8.4%>SPY:-3.3%&QQQ:-3.6%；RSI60健康；站上SMA200（斜率上升）
5,5,AA,AA,76.0,9,低,AA,70.05,18.5,16.21,62.9,0.21,63.7,61.5,1.2488,72.24,低,5,基底+40 · PullbackQ+9 · RelStr+12 · TechConf+10 · TrendStrength+5,從20日高點回檔3.0%，守EMA20；1M報酬16.2%>SPY:-3.3%&QQQ:-3.6%；RSI63健康，MACD多頭；站上SMA200（斜率上升）
6,6,AMD,超微半導體,76.0,9,低,AMD,219.71,358.2,10.16,58.7,0.43,206.5,210.96,2.2875,226.31,低,5,基底+40 · PullbackQ+9 · RelStr+12 · TechConf+10 · TrendStrength+5,從20日高點回檔2.9%，守EMA20；1M報酬10.2%>SPY:-3.3%&QQQ:-3.6%；RSI59健康，MACD多頭；站上SMA200（斜率上升）
7,7,INTC,英特爾,76.0,9,低,INTC,50.59,254.5,10.1,60.9,0.41,45.98,46.09,0.6598,52.38,低,5,基底+40 · PullbackQ+9 · RelStr+12 · TechConf+10 · TrendStrength+5,從20日高點回檔3.4%，守EMA20；1M報酬10.1%>SPY:-3.3%&QQQ:-3.6%；RSI61健康，MACD金叉多頭；站上SMA200（斜率上升）
8,8,MRVL,美滿電子,71.0,9,低,MRVL,107.99,94.4,42.69,68.2,0.39,94.76,85.45,1.5319,111.89,低,5,基底+40 · PullbackQ+9 · RelStr+12 · TechConf+5 · TrendStrength+5,從20日高點回檔3.5%，守EMA20；1M報酬42.7%>SPY:-3.3%&QQQ:-3.6%；MACD多頭；站上SMA200（斜率上升）
9,9,COP,康菲石油,66.0,9,中,COP,130.57,159.6,11.77,66.5,0.09,126.19,115.36,-0.3085,135.87,低,5,基底+40 · PullbackQ+9 · RelStr+12 · TrendStrength+5,從20日高點回檔3.9%，守EMA20；1M報酬11.8%>SPY:-3.3%&QQQ:-3.6%；站上SMA200（斜率上升）
